timeStep;Number of agents;Mean x;Mean y;Mean value;Sum value
0;10.00;18.20;18.70;5.10;51.00
1;10.00;18.70;18.80;5.10;51.00
2;10.00;18.60;18.70;5.10;51.00
3;10.00;18.50;18.20;5.10;51.00
4;10.00;18.50;18.20;5.10;51.00
5;10.00;18.40;18.00;5.10;51.00
6;10.00;18.90;17.90;5.10;51.00
7;10.00;18.70;18.20;5.10;51.00
8;10.00;18.80;18.20;5.10;51.00
9;10.00;18.80;18.10;5.10;51.00
10;10.00;18.40;18.20;5.10;51.00
