timeStep;Mean;Sum
0;0.00;0.00
1;1.00;1024.00
2;2.00;2048.00
3;3.00;3072.00
4;4.00;4096.00
5;5.00;5120.00
6;6.00;6144.00
7;7.00;7168.00
8;8.00;8192.00
9;9.00;9216.00
10;10.00;10240.00
